Data,Hora,Normal (kWh),Horário Económico (kWh),Autoconsumo (kWh)
2023-01-09,08,0.407,0,0.026
2023-01-09,09,0.193,0,0.184
2023-01-09,10,0.056,0,0.425
2023-01-09,11,0.286,0,0.38
2023-01-09,12,0,0,0.242
2023-01-09,13,0,0,0.245
2023-01-09,14,0,0,0.322
2023-01-09,15,0.066,0,0.265
2023-01-09,16,0.236,0,0.08
2023-01-09,17,0.314,0,0
2023-01-09,18,1.54,0,0
2023-01-09,19,2.478,0,0
2023-01-09,20,0.643,0,0
2023-01-09,21,1.644,0,0
2023-01-09,22,0,0.674,0
2023-01-09,23,0,0.532,0
2023-01-10,00,0,0.346,0
2023-01-10,01,0,0.341,0
2023-01-10,02,0,0.292,0
2023-01-10,03,0,0.28,0
2023-01-10,04,0,0.268,0
2023-01-10,05,0,0.286,0
2023-01-10,06,0,0.254,0
2023-01-10,07,0,1.36,0
2023-01-10,08,0.394,0,0.029
2023-01-10,09,0.212,0,0.086
2023-01-10,10,0.12,0,0.12
2023-01-10,11,0.007,0,0.23
2023-01-10,12,0.006,0,0.234
2023-01-10,13,0.122,0,0.161
2023-01-10,14,0.292,0,0.082
2023-01-10,15,0.633,0,0.115
2023-01-10,16,0.751,0,0.029
2023-01-10,17,0.401,0,0
2023-01-10,18,0.287,0,0
2023-01-10,19,0.431,0,0
2023-01-10,20,1.081,0,0
2023-01-10,21,0.64,0,0
2023-01-10,22,0,0.866,0
2023-01-10,23,0,0.582,0
2023-01-11,00,0,0.364,0
2023-01-11,01,0,0.257,0
2023-01-11,02,0,0.251,0
2023-01-11,03,0,0.266,0
2023-01-11,04,0,0.257,0
2023-01-11,05,0,0.25,0
2023-01-11,06,0,0.249,0
2023-01-11,07,0,0.959,0
2023-01-11,08,0.298,0,0.089
2023-01-11,09,0.461,0,0.347
2023-01-11,10,0.04,0,0.342
2023-01-11,11,0,0,0.254
2023-01-11,12,0,0,0.255
2023-01-11,13,0,0,0.252
2023-01-11,14,0,0,0.246
2023-01-11,15,0,0,0.248
2023-01-11,16,0.165,0,0.074
2023-01-11,17,0.307,0,0
2023-01-11,18,0.398,0,0
2023-01-11,19,0.386,0,0
2023-01-11,20,0.358,0,0
2023-01-11,21,0.428,0,0
2023-01-11,22,0,0.358,0
2023-01-11,23,0,0.356,0
2023-01-12,00,0,0.423,0
2023-01-12,01,0,0.253,0
2023-01-12,02,0,0.251,0
2023-01-12,03,0,0.288,0
2023-01-12,04,0,0.271,0
2023-01-12,05,0,0.255,0
2023-01-12,06,0,0.291,0
2023-01-12,07,0,1.006,0
2023-01-12,08,0.306,0,0.06
2023-01-12,09,0.09,0,0.188
2023-01-12,10,0.055,0,0.236
2023-01-12,11,0.081,0,0.183
2023-01-12,12,0.113,0,0.168
2023-01-12,13,0.101,0,0.193
2023-01-12,14,0.586,0,0.132
2023-01-12,15,0.311,0,0.084
2023-01-12,16,0.29,0,0.021
2023-01-12,17,0.992,0,0
2023-01-12,18,0.646,0,0
2023-01-12,19,0.488,0,0
2023-01-12,20,0.557,0,0
2023-01-12,21,0.858,0,0
2023-01-12,22,0,0.43,0
2023-01-12,23,0,0.336,0
2023-01-13,00,0,0.258,0
2023-01-13,01,0,0.311,0
2023-01-13,02,0,0.286,0
2023-01-13,03,0,0.303,0
2023-01-13,04,0,0.316,0
2023-01-13,05,0,0.285,0
2023-01-13,06,0,1.568,0
2023-01-13,07,0,0.874,0
2023-01-13,08,0.418,0,0.029
2023-01-13,09,0.221,0,0.081
2023-01-13,10,0.174,0,0.148
2023-01-13,11,0.051,0,0.249
2023-01-13,12,0.078,0,0.23
2023-01-13,13,0,0,0.324
2023-01-13,14,0.228,0,0.33
2023-01-13,15,0.014,0,0.324
2023-01-13,16,0.284,0,0.075
2023-01-13,17,0.352,0,0
2023-01-13,18,0.481,0,0
2023-01-13,19,1.284,0,0
2023-01-13,20,0.919,0,0
2023-01-13,21,0.517,0,0
2023-01-13,22,0,0.528,0
2023-01-13,23,0,1.154,0
2023-01-14,00,0,0.353,0
2023-01-14,01,0,0.273,0
2023-01-14,02,0,0.3,0
2023-01-14,03,0,0.302,0
2023-01-14,04,0,0.277,0
2023-01-14,05,0,1.467,0
2023-01-14,06,0,1.067,0
2023-01-14,07,0,0.303,0
2023-01-14,08,0.674,0,0.005
2023-01-14,09,0.225,0,0.076
2023-01-14,10,0.984,0,0.214
2023-01-14,11,1.013,0,0.108
2023-01-14,12,2.596,0,0.114
2023-01-14,13,1.002,0,0.204
2023-01-14,14,1.299,0,0.151
2023-01-14,15,0.568,0,0.09
2023-01-14,16,0.739,0,0.028
2023-01-14,17,1.199,0,0
2023-01-14,18,0.579,0,0
2023-01-14,19,0.567,0,0
2023-01-14,20,0.435,0,0
2023-01-14,21,0.449,0,0
2023-01-14,22,0,0.445,0
2023-01-14,23,0,0.461,0
2023-01-15,00,0,0.317,0
2023-01-15,01,0,0.293,0
2023-01-15,02,0,0.286,0
2023-01-15,03,0,1.485,0
2023-01-15,04,0,0.305,0
2023-01-15,05,0,0.296,0
2023-01-15,06,0,0.265,0
2023-01-15,07,0,0.301,0
2023-01-15,08,0.188,0,0.106
2023-01-15,09,0,0,0.364
2023-01-15,10,0.686,0,0.665
2023-01-15,11,0.371,0,0.402
2023-01-15,12,1.431,0,0.674
2023-01-15,13,0.673,0,0.506
2023-01-15,14,0.029,0,0.29
2023-01-15,15,0.754,0,0.328
2023-01-15,16,0.405,0,0.099
2023-01-15,17,0.713,0,0
2023-01-15,18,0.672,0,0
2023-01-15,19,0.754,0,0
2023-01-15,20,0.822,0,0
2023-01-15,21,0.653,0,0
2023-01-15,22,0,0.597,0
2023-01-15,23,0,0.639,0
2023-01-16,00,0,0.747,0
2023-01-16,01,0,0.556,0
2023-01-16,02,0,0.604,0
2023-01-16,03,0,0.813,0
2023-01-16,04,0,0.504,0
2023-01-16,05,0,0.49,0
2023-01-16,06,0,0.472,0
2023-01-16,07,0,1.364,0
2023-01-16,08,0.369,0,0
2023-01-16,09,0.271,0,0.013
2023-01-16,10,0.243,0,0.068
2023-01-16,11,0.251,0,0.089
2023-01-16,12,0.687,0,0.095
2023-01-16,13,0.222,0,0.071
2023-01-16,14,0.228,0,0.029
2023-01-16,15,0.306,0,0.004
2023-01-16,16,0.283,0,0
2023-01-16,17,0.504,0,0
2023-01-16,18,1.494,0,0
2023-01-16,19,0.637,0,0
2023-01-16,20,0.465,0,0
2023-01-16,21,0.48,0,0
2023-01-16,22,0,0.729,0
2023-01-16,23,0,0.517,0
2023-01-17,00,0,0.512,0
2023-01-17,01,0,0.562,0
2023-01-17,02,0,0.264,0
2023-01-17,03,0,0.305,0
2023-01-17,04,0,0.263,0
2023-01-17,05,0,0.279,0
2023-01-17,06,0,0.275,0
2023-01-17,07,0,1.006,0
2023-01-17,08,0.461,0,0.012
2023-01-17,09,0.222,0,0.122
2023-01-17,10,0.284,0,0.115
2023-01-17,11,0.276,0,0.145
2023-01-17,12,0.139,0,0.267
2023-01-17,13,0.6,0,0.233
2023-01-17,14,0.169,0,0.178
2023-01-17,15,0.431,0,0.093
2023-01-17,16,0.337,0,0.058
2023-01-17,17,0.364,0,0.002
2023-01-17,18,2.341,0,0
2023-01-17,19,0.543,0,0
2023-01-17,20,0.65,0,0
2023-01-17,21,0.372,0,0
2023-01-17,22,0,0.357,0
2023-01-17,23,0,0.447,0
2023-01-18,00,0,0.277,0
2023-01-18,01,0,0.272,0
2023-01-18,02,0,0.314,0
2023-01-18,03,0,0.279,0
2023-01-18,04,0,0.313,0
2023-01-18,05,0,0.283,0
2023-01-18,06,0,0.296,0
2023-01-18,07,0,0.957,0
2023-01-18,08,0.358,0,0.088
2023-01-18,09,1.317,0,0.363
2023-01-18,10,0.05,0,0.331
2023-01-18,11,0.047,0,0.343
2023-01-18,12,0.228,0,0.472
2023-01-18,13,0.9,0,0.543
2023-01-18,14,1.591,0,0.41
2023-01-18,15,0.145,0,0.212
2023-01-18,16,0.314,0,0.063
2023-01-18,17,0.41,0,0
2023-01-18,18,2.845,0,0
2023-01-18,19,2.037,0,0
2023-01-18,20,0.498,0,0
2023-01-18,21,0.404,0,0
2023-01-18,22,0,0.38,0
2023-01-18,23,0,0.422,0
2023-01-19,00,0,0.435,0
2023-01-19,01,0,0.422,0
2023-01-19,02,0,0.478,0
2023-01-19,03,0,0.379,0
2023-01-19,04,0,0.269,0
2023-01-19,05,0,0.263,0
2023-01-19,06,0,0.254,0
2023-01-19,07,0,0.677,0
2023-01-19,08,0.301,0,0.022
2023-01-19,09,0.649,0,0.087
2023-01-19,10,0.164,0,0.119
2023-01-19,11,0.14,0,0.15
2023-01-19,12,0.186,0,0.124
2023-01-19,13,0.158,0,0.126
2023-01-19,14,0.256,0,0.05
2023-01-19,15,0.376,0,0.021
2023-01-19,16,0.383,0,0
2023-01-19,17,0.379,0,0
2023-01-19,18,1.082,0,0
2023-01-19,19,2.43,0,0
2023-01-19,20,1.535,0,0
2023-01-19,21,0.893,0,0
2023-01-19,22,0,0.603,0
2023-01-19,23,0,0.567,0
2023-01-20,00,0,1.579,0
2023-01-20,01,0,0.517,0
2023-01-20,02,0,0.378,0
2023-01-20,03,0,0.329,0
2023-01-20,04,0,0.328,0
2023-01-20,05,0,0.319,0
2023-01-20,06,0,0.325,0
2023-01-20,07,0,0.617,0
2023-01-20,08,0.637,0,0.011
2023-01-20,09,1.361,0,0.05
2023-01-20,10,1.397,0,0.168
2023-01-20,11,0.832,0,0.4
2023-01-20,12,0,0,0.304
2023-01-20,13,0,0,0.256
2023-01-20,14,0.2,0,0.141
2023-01-20,15,0.197,0,0.171
2023-01-20,16,0.218,0,0.076
2023-01-20,17,0.277,0,0
2023-01-20,18,0.422,0,0
2023-01-20,19,0.606,0,0
2023-01-20,20,0.426,0,0
2023-01-20,21,0.431,0,0
2023-01-20,22,0,0.751,0
2023-01-20,23,0,0.492,0
2023-01-21,00,0,0.384,0
2023-01-21,01,0,0.381,0
2023-01-21,02,0,0.263,0
2023-01-21,03,0,0.304,0
2023-01-21,04,0,0.246,0
2023-01-21,05,0,0.296,0
2023-01-21,06,0,0.36,0
2023-01-21,07,0,0.248,0
2023-01-21,08,0.267,0,0.027
2023-01-21,09,0.139,0,0.3
2023-01-21,10,0,0,0.385
2023-01-21,11,0.211,0,0.508
2023-01-21,12,0.636,0,0.711
2023-01-21,13,0.723,0,0.549
2023-01-21,14,0.833,0,0.344
2023-01-21,15,0.567,0,0.384
2023-01-21,16,0.838,0,0.132
2023-01-21,17,0.521,0,0.002
2023-01-21,18,0.449,0,0
2023-01-21,19,0.373,0,0
2023-01-21,20,0.37,0,0
2023-01-21,21,0.424,0,0
2023-01-21,22,0,0.39,0
2023-01-21,23,0,0.473,0
2023-01-22,00,0,0.336,0
2023-01-22,01,0,0.386,0
2023-01-22,02,0,0.343,0
2023-01-22,03,0,0.329,0
2023-01-22,04,0,0.287,0
2023-01-22,05,0,0.264,0
2023-01-22,06,0,0.308,0
2023-01-22,07,0,0.664,0
2023-01-22,08,0.145,0,0.118
2023-01-22,09,0,0,0.309
2023-01-22,10,0,0,0.284
2023-01-22,11,0,0,0.44
2023-01-22,12,0.478,0,0.91
2023-01-22,13,0.944,0,0.887
2023-01-22,14,0.002,0,0.504
2023-01-22,15,0,0,0.353
2023-01-22,16,1.355,0,0.09
2023-01-22,17,0.582,0,0
2023-01-22,18,1.569,0,0
2023-01-22,19,1.84,0,0
2023-01-22,20,0.55,0,0
2023-01-22,21,0.385,0,0
2023-01-22,22,0,0.342,0
2023-01-22,23,0,0.465,0
2023-01-23,00,0,0.455,0
2023-01-23,01,0,0.305,0
2023-01-23,02,0,0.348,0
2023-01-23,03,0,0.332,0
2023-01-23,04,0,0.285,0
2023-01-23,05,0,0.301,0
2023-01-23,06,0,0.275,0
2023-01-23,07,0,1.683,0
2023-01-23,08,0.23,0,0.133
2023-01-23,09,0,0,0.299
2023-01-23,10,0,0,0.294
2023-01-23,11,0,0,0.3
2023-01-23,12,0,0,0.301
2023-01-23,13,0,0,0.37
2023-01-23,14,0,0,0.295
2023-01-23,15,0,0,0.307
2023-01-23,16,0.152,0,0.136
2023-01-23,17,0.453,0,0.001
2023-01-23,18,0.368,0,0
2023-01-23,19,1.346,0,0
2023-01-23,20,0.444,0,0
2023-01-23,21,0.369,0,0
2023-01-23,22,0,0.419,0
2023-01-23,23,0,0.31,0
2023-01-24,00,0,0.351,0
2023-01-24,01,0,0.376,0
2023-01-24,02,0,0.373,0
2023-01-24,03,0,0.351,0
2023-01-24,04,0,0.361,0
2023-01-24,05,0,0.339,0
2023-01-24,06,0,0.362,0
2023-01-24,07,0,1.157,0
2023-01-24,08,0.291,0,0.171
2023-01-24,09,0,0,0.305
2023-01-24,10,0,0,0.355
2023-01-24,11,0,0,0.347
2023-01-24,12,0,0,0.358
2023-01-24,13,0,0,0.364
2023-01-24,14,0,0,0.341
2023-01-24,15,0,0,0.356
2023-01-24,16,0.185,0,0.149
2023-01-24,17,0.534,0,0.001
2023-01-24,18,2.337,0,0
2023-01-24,19,2.198,0,0
2023-01-24,20,0.647,0,0
2023-01-24,21,0.516,0,0
2023-01-24,22,0,0.469,0
2023-01-24,23,0,0.418,0
2023-01-25,00,0,0.394,0
2023-01-25,01,0,0.378,0
2023-01-25,02,0,0.307,0
2023-01-25,03,0,0.327,0
2023-01-25,04,0,0.295,0
2023-01-25,05,0,0.328,0
2023-01-25,06,0,0.277,0
2023-01-25,07,0,1.083,0
2023-01-25,08,0.273,0,0.137
2023-01-25,09,0,0,0.287
2023-01-25,10,0,0,0.31
2023-01-25,11,0.298,0,0.613
2023-01-25,12,0.405,0,0.648
2023-01-25,13,0,0,0.277
2023-01-25,14,0.023,0,0.581
2023-01-25,15,0.155,0,0.401
2023-01-25,16,0.176,0,0.155
2023-01-25,17,0.308,0,0.003
2023-01-25,18,0.564,0,0
2023-01-25,19,0.741,0,0
2023-01-25,20,1.811,0,0
2023-01-25,21,0.539,0,0
2023-01-25,22,0,0.401,0
2023-01-25,23,0,0.424,0
2023-01-26,00,0,0.407,0
2023-01-26,01,0,0.394,0
2023-01-26,02,0,0.311,0
2023-01-26,03,0,0.305,0
2023-01-26,04,0,0.326,0
2023-01-26,05,0,0.287,0
2023-01-26,06,0,0.309,0
2023-01-26,07,0,1.236,0
2023-01-26,08,0.333,0,0.039
2023-01-26,09,0,0,0.293
2023-01-26,10,0,0,0.295
2023-01-26,11,0,0,0.309
2023-01-26,12,0.212,0,0.376
2023-01-26,13,0.007,0,0.29
2023-01-26,14,0.392,0,0.314
2023-01-26,15,0.056,0,0.238
2023-01-26,16,0.606,0,0.169
2023-01-26,17,1.479,0,0.003
2023-01-26,18,1.577,0,0
2023-01-26,19,1.055,0,0
2023-01-26,20,0.564,0,0
2023-01-26,21,0.721,0,0
2023-01-26,22,0,0.595,0
2023-01-26,23,0,0.507,0
2023-01-27,00,0,0.524,0
2023-01-27,01,0,0.556,0
2023-01-27,02,0,0.57,0
2023-01-27,03,0,0.421,0
2023-01-27,04,0,0.308,0
2023-01-27,05,0,0.29,0
2023-01-27,06,0,0.305,0
2023-01-27,07,0,0.893,0
2023-01-27,08,0.313,0,0.173
2023-01-27,09,0,0,0.299
2023-01-27,10,0,0,0.303
2023-01-27,11,0,0,0.316
2023-01-27,12,0.001,0,0.596
2023-01-27,13,0.063,0,0.474
2023-01-27,14,0.046,0,0.401
2023-01-27,15,0.481,0,0.44
2023-01-27,16,0.273,0,0.185
2023-01-27,17,0.458,0,0.009
2023-01-27,18,0.493,0,0
2023-01-27,19,0.506,0,0
2023-01-27,20,0.612,0,0
2023-01-27,21,0.571,0,0
2023-01-27,22,0,0.578,0
2023-01-27,23,0,0.494,0
2023-01-28,00,0,0.595,0
2023-01-28,01,0,0.37,0
2023-01-28,02,0,0.316,0
2023-01-28,03,0,0.315,0
2023-01-28,04,0,0.3,0
2023-01-28,05,0,0.318,0
2023-01-28,06,0,1.018,0
2023-01-28,07,0,1.364,0
2023-01-28,08,0.124,0,0.179
2023-01-28,09,0.062,0,0.444
2023-01-28,10,0.11,0,0.459
2023-01-28,11,0.213,0,0.652
2023-01-28,12,0,0,0.315
2023-01-28,13,0,0,0.305
2023-01-28,14,0.758,0,0.408
2023-01-28,15,1.328,0,0.544
2023-01-28,16,0.478,0,0.182
2023-01-28,17,0.553,0,0.002
2023-01-28,18,0.902,0,0
2023-01-28,19,2.183,0,0
2023-01-28,20,1.155,0,0
2023-01-28,21,0.71,0,0
2023-01-28,22,0,1.683,0
2023-01-28,23,0,0.916,0
2023-01-29,00,0,0.557,0
2023-01-29,01,0,0.41,0
2023-01-29,02,0,0.325,0
2023-01-29,03,0,0.331,0
2023-01-29,04,0,0.366,0
2023-01-29,05,0,0.321,0
2023-01-29,06,0,0.306,0
2023-01-29,07,0,1.177,0
2023-01-29,08,0.222,0,0.176
2023-01-29,09,0.13,0,0.437
2023-01-29,10,0.657,0,0.749
2023-01-29,11,0.022,0,0.606
2023-01-29,12,0.794,0,0.995
2023-01-29,13,0,0,0.587
2023-01-29,14,0.615,0,0.448
2023-01-29,15,0.469,0,0.505
2023-01-29,16,3.381,0,0.192
2023-01-29,17,1.893,0,0.002
2023-01-29,18,0.659,0,0
2023-01-29,19,0.568,0,0
2023-01-29,20,1.097,0,0
2023-01-29,21,1.375,0,0
2023-01-29,22,0,1.643,0
2023-01-29,23,0,1.656,0
2023-01-30,00,0,0.557,0
2023-01-30,01,0,0.446,0
2023-01-30,02,0,0.305,0
2023-01-30,03,0,0.29,0
2023-01-30,04,0,0.313,0
2023-01-30,05,0,0.288,0
2023-01-30,06,0,0.313,0
2023-01-30,07,0,2.207,0
2023-01-30,08,0.321,0,0.191
2023-01-30,09,0,0,0.362
2023-01-30,10,0.407,0,0.446
2023-01-30,11,1.307,0,0.833
2023-01-30,12,0.1,0,0.476
2023-01-30,13,0,0,0.302
2023-01-30,14,0.302,0,0.602
2023-01-30,15,0,0,0.371
2023-01-30,16,0.168,0,0.191
2023-01-30,17,0.275,0,0.005
2023-01-30,18,0.698,0,0
2023-01-30,19,1.087,0,0
2023-01-30,20,0.468,0,0
2023-01-30,21,0.443,0,0
2023-01-30,22,0,0.496,0
2023-01-30,23,0,0.579,0
2023-01-31,00,0,0.573,0
2023-01-31,01,0,0.504,0
2023-01-31,02,0,0.317,0
2023-01-31,03,0,0.322,0
2023-01-31,04,0,0.297,0
2023-01-31,05,0,0.3,0
2023-01-31,06,0,0.302,0
2023-01-31,07,0,0.84,0
2023-01-31,08,0.174,0,0.184
2023-01-31,09,0,0,0.28
2023-01-31,10,0,0,0.283
2023-01-31,11,0.617,0,0.849
2023-01-31,12,0,0,0.379
2023-01-31,13,0,0,0.295
2023-01-31,14,0.488,0,0.504
2023-01-31,15,0.949,0,0.531
2023-01-31,16,0.9,0,0.188
2023-01-31,17,0.279,0,0.007
2023-01-31,18,0.627,0,0
2023-01-31,19,2.782,0,0
2023-01-31,20,0.716,0,0
2023-01-31,21,0.642,0,0
2023-01-31,22,0,1.635,0
2023-01-31,23,0,1.706,0
2023-02-01,00,0,1.65,0
2023-02-01,01,0,0.585,0
2023-02-01,02,0,0.394,0
2023-02-01,03,0,0.325,0
2023-02-01,04,0,0.289,0
2023-02-01,05,0,0.299,0
2023-02-01,06,0,1.803,0
2023-02-01,07,0,1.476,0
2023-02-01,08,0.195,0,0.191
2023-02-01,09,0,0,0.29
2023-02-01,10,0,0,0.308
2023-02-01,11,0,0,0.286
2023-02-01,12,0.121,0,0.536
2023-02-01,13,0,0,0.308
2023-02-01,14,0.284,0,0.514
2023-02-01,15,0,0,0.409
2023-02-01,16,0.712,0,0.209
2023-02-01,17,0.359,0,0.003
2023-02-01,18,1.622,0,0
2023-02-01,19,1.159,0,0
2023-02-01,20,0.703,0,0
2023-02-01,21,0.823,0,0
2023-02-01,22,0,0.642,0
2023-02-01,23,0,0.633,0
2023-02-02,00,0,0.623,0
2023-02-02,01,0,0.635,0
2023-02-02,02,0,0.612,0
2023-02-02,03,0,0.444,0
2023-02-02,04,0,0.338,0
2023-02-02,05,0,0.341,0
2023-02-02,06,0,0.355,0
2023-02-02,07,0,1.339,0
2023-02-02,08,0.268,0,0.203
2023-02-02,09,0.135,0,0.426
2023-02-02,10,0.272,0,0.554
2023-02-02,11,0,0,0.338
2023-02-02,12,0.229,0,0.531
2023-02-02,13,0,0,0.33
2023-02-02,14,0.132,0,0.462
2023-02-02,15,0,0,0.414
2023-02-02,16,0.175,0,0.201
2023-02-02,17,0.368,0,0.007
2023-02-02,18,1.621,0,0
2023-02-02,19,1.397,0,0
2023-02-02,20,1.272,0,0
2023-02-02,21,1.972,0,0
2023-02-02,22,0,1.831,0
2023-02-02,23,0,1.76,0
