Data,Hora,Normal (kWh),Horário Económico (kWh),Autoconsumo (kWh),Injeção na rede (kWh)
2022-01-14,20,0.925,0,0,None
2022-01-14,21,0.589,0,0,None
2022-01-14,22,0,0.557,0,None
2022-01-14,23,0,0.526,0,None
2022-01-15,00,0,0.502,0,None
2022-01-15,01,0,0.437,0,None
2022-01-15,02,0,0.378,0,None
2022-01-15,03,0,0.227,0,None
2022-01-15,04,0,0.234,0,None
2022-01-15,05,0,0.223,0,None
2022-01-15,06,0,0.235,0,None
2022-01-15,07,0,0.232,0,None
2022-01-15,08,0.741,0,0.054,None
2022-01-15,09,0.282,0,0.14,Low
2022-01-15,10,0.807,0,0.213,None
2022-01-15,11,0.867,0,0.468,Medium
2022-01-15,12,0.991,0,0.365,None
2022-01-15,13,0.072,0,0.345,Medium
2022-01-15,14,0.019,0,0.259,Medium
2022-01-15,15,0,0,0.289,Medium
2022-01-15,16,0.141,0,0.088,Low
2022-01-15,17,0.219,0,0.001,None
2022-01-15,18,0.639,0,0,None
2022-01-15,19,0.889,0,0,None
2022-01-15,20,0.373,0,0,None
2022-01-15,21,0.38,0,0,None
2022-01-15,22,0,0.971,0,None
2022-01-15,23,0,0.788,0,None
2022-01-16,00,0,1.557,0,None
2022-01-16,01,0,0.695,0,None
2022-01-16,02,0,0.239,0,None
2022-01-16,03,0,0.35,0,None
2022-01-16,04,0,0.249,0,None
2022-01-16,05,0,0.242,0,None
2022-01-16,06,0,0.242,0,None
2022-01-16,07,0,1.191,0,None
2022-01-16,08,0.419,0,0.032,None
2022-01-16,09,0.061,0,0.177,Medium
2022-01-16,10,0.772,0,0.39,Low
2022-01-16,11,0.467,0,0.519,Medium
2022-01-16,12,0.646,0,0.546,Medium
2022-01-16,13,0,0,0.36,Medium
2022-01-16,14,0.288,0,0.334,Low
2022-01-16,15,0.083,0,0.249,Medium
2022-01-16,16,0.754,0,0.038,None
2022-01-16,17,0.694,0,0.003,None
2022-01-16,18,0.967,0,0,None
2022-01-16,19,2.148,0,0,None
2022-01-16,20,0.97,0,0,None
2022-01-16,21,0.503,0,0,None
2022-01-16,22,0,0.612,0,None
2022-01-16,23,0,0.612,0,None
2022-01-17,00,0,0.546,0,None
2022-01-17,01,0,0.524,0,None
2022-01-17,02,0,0.506,0,None
2022-01-17,03,0,0.323,0,None
2022-01-17,04,0,0.322,0,None
2022-01-17,05,0,0.317,0,None
2022-01-17,06,0,0.339,0,None
2022-01-17,07,0,1.551,0,None
2022-01-17,08,0.568,0,0.107,None
2022-01-17,09,0,0,0.264,Medium
2022-01-17,10,0,0,0.268,High
2022-01-17,11,0,0,0.292,High
2022-01-17,12,0,0,0.277,High
2022-01-17,13,0,0,0.27,High
2022-01-17,14,0,0,0.259,High
2022-01-17,15,0,0,0.251,Medium
2022-01-17,16,0.192,0,0.117,None
2022-01-17,17,0.252,0,0.007,None
2022-01-17,18,0.821,0,0,None
2022-01-17,19,0.582,0,0,None
2022-01-17,20,0.648,0,0,None
2022-01-17,21,0.433,0,0,None
2022-01-17,22,0,0.63,0,None
2022-01-17,23,0,0.49,0,None
2022-01-18,00,0,0.277,0,None
2022-01-18,01,0,0.292,0,None
2022-01-18,02,0,0.273,0,None
2022-01-18,03,0,0.33,0,None
2022-01-18,04,0,0.294,0,None
2022-01-18,05,0,0.249,0,None
2022-01-18,06,0,0.291,0,None
2022-01-18,07,0,1.158,0,None
2022-01-18,08,0.215,0,0.096,Low
2022-01-18,09,0.301,0,0.447,Medium
2022-01-18,10,0,0,0.297,High
2022-01-18,11,0,0,0.246,High
2022-01-18,12,0,0,0.301,High
2022-01-18,13,0,0,0.243,High
2022-01-18,14,0,0,0.291,High
2022-01-18,15,0,0,0.305,Medium
2022-01-18,16,0.16,0,0.109,Low
2022-01-18,17,0.287,0,0.002,None
2022-01-18,18,0.567,0,0,None
2022-01-18,19,0.666,0,0,None
2022-01-18,20,0.666,0,0,None
2022-01-18,21,1.047,0,0,None
2022-01-18,22,0,0.498,0,None
2022-01-18,23,0,0.452,0,None
2022-01-19,00,0,0.429,0,None
2022-01-19,01,0,0.307,0,None
2022-01-19,02,0,0.466,0,None
2022-01-19,03,0,0.286,0,None
2022-01-19,04,0,0.295,0,None
2022-01-19,05,0,0.298,0,None
2022-01-19,06,0,0.782,0,None
2022-01-19,07,0,1.059,0,None
2022-01-19,08,0.163,0,0.117,Low
2022-01-19,09,0,0,0.284,High
2022-01-19,10,0,0,0.278,High
2022-01-19,11,0,0,0.289,High
2022-01-19,12,0,0,0.295,High
2022-01-19,13,0.117,0,0.517,High
2022-01-19,14,0,0,0.276,High
2022-01-19,15,0,0,0.278,Medium
2022-01-19,16,0.165,0,0.129,None
2022-01-19,17,0.264,0,0.002,None
2022-01-19,18,0.832,0,0,None
2022-01-19,19,0.527,0,0,None
2022-01-19,20,0.566,0,0,None
2022-01-19,21,0.839,0,0,None
2022-01-19,22,0,0.519,0,None
2022-01-19,23,0,0.479,0,None
2022-01-20,00,0,0.494,0,None
2022-01-20,01,0,0.378,0,None
2022-01-20,02,0,0.281,0,None
2022-01-20,03,0,0.279,0,None
2022-01-20,04,0,0.276,0,None
2022-01-20,05,0,0.276,0,None
2022-01-20,06,0,0.275,0,None
2022-01-20,07,0,1.27,0,None
2022-01-20,08,0.198,0,0.131,Low
2022-01-20,09,0,0,0.342,Medium
2022-01-20,10,0,0,0.307,High
2022-01-20,11,0,0,0.288,High
2022-01-20,12,0.013,0,0.551,High
2022-01-20,13,0,0,0.278,High
2022-01-20,14,0,0,0.274,High
2022-01-20,15,0,0,0.272,Medium
2022-01-20,16,0.135,0,0.132,None
2022-01-20,17,0.273,0,0.002,None
2022-01-20,18,0.394,0,0,None
2022-01-20,19,0.389,0,0,None
2022-01-20,20,0.721,0,0,None
2022-01-20,21,0.495,0,0,None
2022-01-20,22,0,0.695,0,None
2022-01-20,23,0,0.415,0,None
2022-01-21,00,0,0.397,0,None
2022-01-21,01,0,0.397,0,None
2022-01-21,02,0,0.379,0,None
2022-01-21,03,0,0.305,0,None
2022-01-21,04,0,0.274,0,None
2022-01-21,05,0,0.272,0,None
2022-01-21,06,0,0.273,0,None
2022-01-21,07,0,1.55,0,None
2022-01-21,08,0.759,0,0.108,Medium
2022-01-21,09,0,0,0.233,High
2022-01-21,10,0,0,0.244,High
2022-01-21,11,0.223,0,0.573,High
2022-01-21,12,0.325,0,0.625,High
2022-01-21,13,0,0,0.244,High
2022-01-21,14,0,0,0.24,High
2022-01-21,15,0,0,0.234,Medium
2022-01-21,16,0.147,0,0.119,Low
2022-01-21,17,0.229,0,0.002,None
2022-01-21,18,0.272,0,0,None
2022-01-21,19,0.483,0,0,None
2022-01-21,20,0.616,0,0,None
2022-01-21,21,0.683,0,0,None
2022-01-21,22,0,0.684,0,None
2022-01-21,23,0,0.496,0,None
2022-01-22,00,0,0.399,0,None
2022-01-22,01,0,0.353,0,None
2022-01-22,02,0,0.498,0,None
2022-01-22,03,0,0.427,0,None
2022-01-22,04,0,0.309,0,None
2022-01-22,05,0,0.286,0,None
2022-01-22,06,0,0.282,0,None
2022-01-22,07,0,0.282,0,None
2022-01-22,08,0.202,0,0.155,None
2022-01-22,09,0.055,0,0.351,Medium
2022-01-22,10,0,0,0.297,High
2022-01-22,11,0,0,0.301,High
2022-01-22,12,0.519,0,0.901,Medium
2022-01-22,13,0.32,0,0.758,Medium
2022-01-22,14,0,0,0.557,Medium
2022-01-22,15,0,0,0.318,Medium
2022-01-22,16,0.172,0,0.15,None
2022-01-22,17,1.479,0,0.004,None
2022-01-22,18,1.491,0,0,None
2022-01-22,19,1.898,0,0,None
2022-01-22,20,1.369,0,0,None
2022-01-22,21,1.828,0,0,None
2022-01-22,22,0,1.739,0,None
2022-01-22,23,0,1.09,0,None
2022-01-23,00,0,0.369,0,None
2022-01-23,01,0,0.316,0,None
2022-01-23,02,0,0.305,0,None
2022-01-23,03,0,0.384,0,None
2022-01-23,04,0,0.301,0,None
2022-01-23,05,0,0.306,0,None
2022-01-23,06,0,0.342,0,None
2022-01-23,07,0,0.363,0,None
2022-01-23,08,0.233,0,0.171,None
2022-01-23,09,0,0,0.354,Medium
2022-01-23,10,0,0,0.333,High
2022-01-23,11,0,0,0.342,High
2022-01-23,12,2.519,0,0.968,None
2022-01-23,13,0.843,0,0.801,Medium
2022-01-23,14,0.046,0,0.499,Medium
2022-01-23,15,0.008,0,0.406,Medium
2022-01-23,16,0.627,0,0.156,None
2022-01-23,17,0.408,0,0.004,None
2022-01-23,18,0.641,0,0,None
2022-01-23,19,2.329,0,0,None
2022-01-23,20,1.698,0,0,None
2022-01-23,21,0.56,0,0,None
2022-01-23,22,0,0.522,0,None
2022-01-23,23,0,0.494,0,None
2022-01-24,00,0,0.505,0,None
2022-01-24,01,0,0.576,0,None
2022-01-24,02,0,1.359,0,None
2022-01-24,03,0,0.724,0,None
2022-01-24,04,0,0.525,0,None
2022-01-24,05,0,0.479,0,None
2022-01-24,06,0,0.314,0,None
2022-01-24,07,0,1.377,0,None
2022-01-24,08,0.55,0,0.15,None
2022-01-24,09,0.03,0,0.419,Medium
2022-01-24,10,0,0,0.374,High
2022-01-24,11,0,0,0.399,High
2022-01-24,12,0,0,0.414,High
2022-01-24,13,0,0,0.455,High
2022-01-24,14,0,0,0.455,High
2022-01-24,15,0.003,0,0.437,Medium
2022-01-24,16,0.265,0,0.16,None
2022-01-24,17,0.446,0,0.004,None
2022-01-24,18,0.836,0,0,None
2022-01-24,19,1.11,0,0,None
2022-01-24,20,0.818,0,0,None
2022-01-24,21,0.707,0,0,None
2022-01-24,22,0,0.739,0,None
2022-01-24,23,0,0.607,0,None
2022-01-25,00,0,0.555,0,None
2022-01-25,01,0,0.612,0,None
2022-01-25,02,0,0.444,0,None
2022-01-25,03,0,0.335,0,None
2022-01-25,04,0,0.342,0,None
2022-01-25,05,0,0.342,0,None
2022-01-25,06,0,0.342,0,None
2022-01-25,07,0,1.208,0,None
2022-01-25,08,0.4,0,0.155,Low
2022-01-25,09,0,0,0.291,Medium
2022-01-25,10,0,0,0.303,High
2022-01-25,11,0.29,0,0.616,High
2022-01-25,12,0.416,0,0.643,High
2022-01-25,13,0,0,0.384,High
2022-01-25,14,0,0,0.31,High
2022-01-25,15,0.043,0,0.338,Medium
2022-01-25,16,1.319,0,0.165,None
2022-01-25,17,1.492,0,0.004,None
2022-01-25,18,1.481,0,0,None
2022-01-25,19,1.668,0,0,None
2022-01-25,20,0.892,0,0,None
2022-01-25,21,0.698,0,0,None
2022-01-25,22,0,0.658,0,None
2022-01-25,23,0,0.508,0,None
2022-01-26,00,0,0.53,0,None
2022-01-26,01,0,0.513,0,None
2022-01-26,02,0,0.391,0,None
2022-01-26,03,0,0.361,0,None
2022-01-26,04,0,0.347,0,None
2022-01-26,05,0,0.339,0,None
2022-01-26,06,0,0.344,0,None
2022-01-26,07,0,1.408,0,None
2022-01-26,08,0.417,0,0.031,None
2022-01-26,09,0.137,0,0.172,None
2022-01-26,10,0.216,0,0.44,High
2022-01-26,11,0.247,0,0.548,High
2022-01-26,12,0.087,0,0.607,High
2022-01-26,13,0,0,0.301,High
2022-01-26,14,0.045,0,0.474,High
2022-01-26,15,0.038,0,0.461,Medium
2022-01-26,16,0.252,0,0.176,None
2022-01-26,17,0.421,0,0.006,None
2022-01-26,18,0.572,0,0,None
2022-01-26,19,0.407,0,0,None
2022-01-26,20,0.507,0,0,None
2022-01-26,21,0.768,0,0,None
2022-01-26,22,0,0.707,0,None
2022-01-26,23,0,0.432,0,None
2022-01-27,00,0,0.332,0,None
2022-01-27,01,0,0.363,0,None
2022-01-27,02,0,0.353,0,None
2022-01-27,03,0,0.346,0,None
2022-01-27,04,0,0.343,0,None
2022-01-27,05,0,0.342,0,None
2022-01-27,06,0,0.354,0,None
2022-01-27,07,0,1.517,0,None
2022-01-27,08,0.265,0,0.114,None
2022-01-27,09,0,0,0.291,Medium
2022-01-27,10,0,0,0.295,High
2022-01-27,11,0,0,0.314,High
2022-01-27,12,0,0,0.316,High
2022-01-27,13,0,0,0.314,High
2022-01-27,14,0,0,0.393,High
2022-01-27,15,0,0,0.307,Medium
2022-01-27,16,0.166,0,0.159,None
2022-01-27,17,0.339,0,0.01,None
2022-01-27,18,0.513,0,0,None
2022-01-27,19,0.558,0,0,None
2022-01-27,20,0.682,0,0,None
2022-01-27,21,0.528,0,0,None
2022-01-27,22,0,0.864,0,None
2022-01-27,23,0,0.517,0,None
2022-01-28,00,0,0.442,0,None
2022-01-28,01,0,0.5,0,None
2022-01-28,02,0,0.403,0,None
2022-01-28,03,0,0.586,0,None
2022-01-28,04,0,0.33,0,None
2022-01-28,05,0,0.329,0,None
2022-01-28,06,0,0.341,0,None
2022-01-28,07,0,1.518,0,None
2022-01-28,08,0.786,0,0.188,Low
2022-01-28,09,0,0,0.302,High
2022-01-28,10,0,0,0.301,High
2022-01-28,11,0,0,0.3,Very High
2022-01-28,12,0,0,0.299,Very High
2022-01-28,13,0,0,0.313,High
2022-01-28,14,0,0,0.305,High
2022-01-28,15,0,0,0.302,Medium
2022-01-28,16,0.128,0,0.17,Low
2022-01-28,17,0.307,0,0.005,None
2022-01-28,18,0.376,0,0,None
2022-01-28,19,0.738,0,0,None
2022-01-28,20,0.883,0,0,None
2022-01-28,21,0.483,0,0,None
2022-01-28,22,0,0.454,0,None
2022-01-28,23,0,0.513,0,None
2022-01-29,00,0,1.602,0,None
2022-01-29,01,0,0.371,0,None
2022-01-29,02,0,0.367,0,None
2022-01-29,03,0,0.783,0,None
2022-01-29,04,0,0.54,0,None
2022-01-29,05,0,0.46,0,None
2022-01-29,06,0,0.344,0,None
2022-01-29,07,0,0.338,0,None
2022-01-29,08,0.154,0,0.193,None
2022-01-29,09,0,0,0.298,Medium
2022-01-29,10,0,0,0.315,High
2022-01-29,11,0,0,0.428,High
2022-01-29,12,0.218,0,0.587,High
2022-01-29,13,0,0,0.299,High
2022-01-29,14,0.032,0,0.423,High
2022-01-29,15,0,0,0.384,Medium
2022-01-29,16,0.314,0,0.165,None
2022-01-29,17,0.535,0,0.007,None
2022-01-29,18,0.502,0,0,None
2022-01-29,19,0.481,0,0,None
2022-01-29,20,0.366,0,0,None
2022-01-29,21,0.438,0,0,None
2022-01-29,22,0,0.42,0,None
2022-01-29,23,0,0.843,0,None
2022-01-30,00,0,0.518,0,None
2022-01-30,01,0,0.305,0,None
2022-01-30,02,0,0.315,0,None
2022-01-30,03,0,0.331,0,None
2022-01-30,04,0,0.306,0,None
2022-01-30,05,0,0.306,0,None
2022-01-30,06,0,0.298,0,None
