Data,Hora,Normal (kWh),Horário Económico (kWh),Autoconsumo (kWh),Injeção na rede (kWh),dt,dt_iso,city_name,temp,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,rain_1h,clouds_all,weather_description,shortwave_radiation,direct_radiation,diffuse_radiation,direct_normal_irradiance,terrestrial_radiation,shortwave_radiation_instant,direct_radiation_instant,diffuse_radiation_instant,direct_normal_irradiance_instant,terrestrial_radiation_instant
2021-09-30,2,0.356,0.0,0.0,None,1632967200,2021-09-30 02:00:00+00:00,local,13.73,13.46,12.57,15.1,1026,,,88,1.81,,98,overcast clouds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-30,3,0.355,0.0,0.0,None,1632970800,2021-09-30 03:00:00+00:00,local,12.92,12.62,11.72,14.54,1025,,,90,1.78,,73,broken clouds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-30,4,0.346,0.0,0.0,None,1632974400,2021-09-30 04:00:00+00:00,local,12.88,12.6,11.72,14.54,1025,,,91,1.77,,42,scattered clouds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-30,5,0.351,0.0,0.0,None,1632978000,2021-09-30 05:00:00+00:00,local,17.16,16.84,10.72,17.37,1025,,,73,1.83,,28,scattered clouds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-30,6,0.454,0.0,0.0,None,1632981600,2021-09-30 06:00:00+00:00,local,11.58,11.17,10.72,13.43,1025,,,91,1.81,,40,scattered clouds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-30,7,0.372,0.0,0.002,None,1632985200,2021-09-30 07:00:00+00:00,local,11.67,11.24,10.72,15.11,1026,,,90,1.71,,2,sky is clear,9.0,3.0,6.0,38.3,47.5,21.7,7.2,14.5,83.0,114.6
2021-09-30,8,0.366,0.0,0.228,Medium,1632988800,2021-09-30 08:00:00+00:00,local,19.4,19.07,14.54,19.59,1026,,,64,1.86,,0,sky is clear,128.0,84.0,44.0,470.5,243.6,194.1,127.4,66.7,470.5,369.4
2021-09-30,9,0.0,0.0,0.268,High,1632992400,2021-09-30 09:00:00+00:00,local,20.63,20.37,18.34,20.7,1026,,,62,1.03,,25,scattered clouds,304.0,231.0,73.0,649.0,485.6,373.1,283.5,89.6,649.0,595.9
2021-09-30,10,0.0,0.0,0.268,High,1632996000,2021-09-30 10:00:00+00:00,local,22.31,22.22,19.72,22.88,1026,,,62,0.73,,84,broken clouds,474.0,389.0,85.0,767.6,691.4,533.8,438.1,95.7,767.6,778.6
2021-09-30,11,0.0,0.0,0.278,Very High,1632999600,2021-09-30 11:00:00+00:00,local,22.94,22.91,22.79,23.99,1026,,,62,0.48,,30,scattered clouds,605.0,509.0,96.0,820.1,846.9,646.6,544.0,102.6,820.1,905.1
2021-09-30,12,0.026,0.0,0.352,Very High,1633003200,2021-09-30 12:00:00+00:00,local,24.49,24.4,20.72,24.59,1025,,,54,0.62,,65,broken clouds,683.0,577.0,106.0,836.3,941.4,701.3,592.5,108.8,836.3,966.6
2021-09-30,13,0.003,0.0,0.378,High,1633006800,2021-09-30 13:00:00+00:00,local,24.9,24.91,19.72,25.57,1024,,,56,1.21,,89,overcast clouds,713.0,619.0,94.0,872.0,968.5,706.0,612.9,93.1,872.0,959.1
2021-09-30,14,0.0,0.0,0.45,High,1633010400,2021-09-30 14:00:00+00:00,local,26.2,26.2,23.44,26.26,1024,,,51,2.17,,24,few clouds,677.0,586.0,91.0,863.1,926.4,645.2,558.5,86.7,863.1,882.9
2021-09-30,15,0.0,0.0,0.42,High,1633014000,2021-09-30 15:00:00+00:00,local,26.48,26.48,21.72,26.82,1023,,,49,3.05,,19,few clouds,584.0,498.0,86.0,830.8,817.9,530.7,452.6,78.2,830.8,743.3
2021-09-30,16,0.054,0.0,0.35,High,1633017600,2021-09-30 16:00:00+00:00,local,25.84,25.81,19.72,26.26,1023,,,51,3.27,,0,sky is clear,442.0,360.0,82.0,755.4,650.3,373.6,304.3,69.3,755.4,549.7
2021-09-30,17,0.105,0.0,0.216,Low,1633021200,2021-09-30 17:00:00+00:00,local,23.67,23.69,17.72,24.23,1023,,,61,2.81,,1,sky is clear,260.0,181.0,79.0,567.6,435.1,188.4,131.2,57.3,567.6,315.4
2021-09-30,18,0.419,0.0,0.032,None,1633024800,2021-09-30 18:00:00+00:00,local,22.02,22.03,16.72,23.12,1023,,,67,2.29,,55,broken clouds,89.0,49.0,40.0,321.3,187.0,26.8,14.7,12.0,169.0,56.2
2021-09-30,19,0.341,0.0,0.0,None,1633028400,2021-09-30 19:00:00+00:00,local,19.9,19.9,15.72,20.9,1023,,,75,1.65,,96,overcast clouds,2.0,0.0,2.0,0.0,18.1,0.0,0.0,0.0,0.0,0.0
2021-09-30,20,0.585,0.0,0.0,None,1633032000,2021-09-30 20:00:00+00:00,local,18.78,18.72,14.72,19.79,1023,,,77,1.08,,98,overcast clouds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-30,21,0.523,0.0,0.0,None,1633035600,2021-09-30 21:00:00+00:00,local,18.23,18.2,14.72,18.48,1024,,,80,1.56,,98,overcast clouds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-30,22,0.562,0.0,0.0,None,1633039200,2021-09-30 22:00:00+00:00,local,17.62,17.53,12.72,17.93,1023,,,80,1.32,,100,overcast clouds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-30,23,0.599,0.0,0.0,None,1633042800,2021-09-30 23:00:00+00:00,local,17.67,17.63,13.72,17.93,1023,,,82,2.06,,100,overcast clouds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-01,0,0.611,0.0,0.0,None,1633046400,2021-10-01 00:00:00+00:00,local,16.63,16.57,13.72,16.82,1023,,,85,1.23,,99,overcast clouds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-01,1,0.557,0.0,0.0,None,1633050000,2021-10-01 01:00:00+00:00,local,16.05,15.96,12.72,16.26,1023,,,86,1.87,,92,overcast clouds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-01,2,0.446,0.0,0.0,None,1633053600,2021-10-01 02:00:00+00:00,local,16.15,16.04,12.72,16.26,1022,,,85,1.49,,93,overcast clouds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-01,3,0.336,0.0,0.0,None,1633057200,2021-10-01 03:00:00+00:00,local,16.14,16.11,12.72,16.26,1022,,,88,1.5,,14,few clouds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-01,4,0.306,0.0,0.0,None,1633060800,2021-10-01 04:00:00+00:00,local,15.07,14.96,12.72,15.15,1022,,,89,1.1,,60,broken clouds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-01,5,0.268,0.0,0.0,None,1633064400,2021-10-01 05:00:00+00:00,local,15.6,15.57,12.72,15.7,1022,,,90,1.35,,86,overcast clouds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-01,6,0.279,0.0,0.0,None,1633068000,2021-10-01 06:00:00+00:00,local,15.44,15.36,11.72,15.7,1022,,,89,1.24,,92,overcast clouds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-01,7,0.281,0.0,0.0,None,1633071600,2021-10-01 07:00:00+00:00,local,14.97,14.9,12.72,15.15,1022,,,91,1.06,,98,overcast clouds,5.0,0.0,5.0,0.0,45.1,12.2,0.0,12.2,0.0,109.9
2021-10-01,8,0.585,0.0,0.047,None,1633075200,2021-10-01 08:00:00+00:00,local,15.63,15.62,13.72,15.7,1023,,,91,1.18,,99,overcast clouds,102.0,33.0,69.0,188.6,238.8,155.7,50.4,105.3,188.6,364.6
2021-10-01,9,0.064,0.0,0.187,Low,1633078800,2021-10-01 09:00:00+00:00,local,15.71,15.56,15.66,16.78,1023,,,85,1.24,,94,overcast clouds,272.0,180.0,92.0,511.1,480.8,334.4,221.3,113.1,511.1,591.0
2021-10-01,10,0.005,0.0,0.248,High,1633082400,2021-10-01 10:00:00+00:00,local,18.84,18.74,17.79,20.11,1023,,,75,2.09,,98,overcast clouds,457.0,352.0,105.0,700.1,686.4,515.0,396.7,118.3,700.1,773.5
2021-10-01,11,0.0,0.0,0.258,Very High,1633086000,2021-10-01 11:00:00+00:00,local,20.39,20.23,19.72,21.77,1023,,,67,2.19,,100,overcast clouds,529.0,327.0,202.0,530.5,841.5,565.5,349.6,215.9,530.5,899.6
2021-10-01,12,0.0,0.0,0.262,Very High,1633089600,2021-10-01 12:00:00+00:00,local,21.2,21.07,19.72,22.57,1023,,,65,2.66,,78,broken clouds,545.0,307.0,238.0,447.9,935.7,559.6,315.2,244.4,447.9,960.8
2021-10-01,13,0.025,0.0,0.329,Very High,1633093200,2021-10-01 13:00:00+00:00,local,22.24,22.03,19.72,23.68,1023,,,58,2.66,,77,broken clouds,655.0,495.0,160.0,702.1,962.5,648.4,490.0,158.4,702.1,952.9
2021-10-01,14,0.014,0.0,0.34,High,1633096800,2021-10-01 14:00:00+00:00,local,23.28,23.23,19.72,25.34,1022,,,60,2.66,,97,overcast clouds,611.0,429.0,182.0,636.6,920.0,582.0,408.6,173.4,636.6,876.3
2021-10-01,15,0.02,0.0,0.373,High,1633100400,2021-10-01 15:00:00+00:00,local,23.77,23.82,19.72,24.04,1022,,,62,3.46,,100,overcast clouds,477.0,307.0,170.0,516.8,811.1,433.0,278.7,154.3,516.8,736.3
2021-10-01,16,0.052,0.0,0.376,Medium,1633104000,2021-10-01 16:00:00+00:00,local,23.19,23.42,18.72,23.48,1022,,,71,3.44,,100,overcast clouds,346.0,191.0,155.0,405.4,643.2,291.8,161.1,130.7,405.4,542.4
2021-10-01,17,0.189,0.0,0.267,Low,1633107600,2021-10-01 17:00:00+00:00,local,21.63,21.86,18.72,22.01,1021,,,77,3.05,,100,overcast clouds,161.0,45.0,116.0,143.6,427.8,115.9,32.4,83.5,143.6,307.9
2021-10-01,18,0.714,0.0,0.034,None,1633111200,2021-10-01 18:00:00+00:00,local,20.52,20.72,17.72,20.7,1022,,,80,2.5,,100,overcast clouds,36.0,2.0,34.0,13.4,179.4,9.8,0.5,9.2,6.2,48.6
2021-10-01,19,0.422,0.0,0.0,None,1633114800,2021-10-01 19:00:00+00:00,local,19.49,19.74,17.72,19.79,1022,,,86,1.45,,100,overcast clouds,1.0,0.0,1.0,0.0,14.2,0.0,0.0,0.0,0.0,0.0
2021-10-01,20,0.374,0.0,0.0,None,1633118400,2021-10-01 20:00:00+00:00,local,18.97,19.22,17.72,19.79,1022,,,88,0.85,,100,overcast clouds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-01,21,0.255,0.0,0.0,None,1633122000,2021-10-01 21:00:00+00:00,local,18.94,19.21,17.72,19.23,1022,,,89,0.97,,100,overcast clouds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-01,22,0.324,0.0,0.0,None,1633125600,2021-10-01 22:00:00+00:00,local,18.43,18.68,17.72,19.23,1021,,,90,1.58,,100,overcast clouds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-01,23,0.331,0.0,0.0,None,1633129200,2021-10-01 23:00:00+00:00,local,18.41,18.68,17.23,18.68,1020,,,91,1.11,,100,overcast clouds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-02,0,0.328,0.0,0.0,None,1633132800,2021-10-02 00:00:00+00:00,local,18.42,18.72,17.23,18.48,1020,,,92,1.55,,100,overcast clouds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-02,1,0.526,0.0,0.0,None,1633136400,2021-10-02 01:00:00+00:00,local,18.42,18.72,17.23,18.48,1020,,,92,1.92,,100,overcast clouds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-02,2,0.328,0.0,0.0,None,1633140000,2021-10-02 02:00:00+00:00,local,18.42,18.75,17.23,18.48,1019,,,93,2.33,,100,overcast clouds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-02,3,0.262,0.0,0.0,None,1633143600,2021-10-02 03:00:00+00:00,local,17.9,18.17,17.23,18.12,1018,,,93,2.32,,100,overcast clouds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-02,4,0.256,0.0,0.0,None,1633147200,2021-10-02 04:00:00+00:00,local,17.87,18.14,16.72,18.12,1018,,,93,2.32,,100,overcast clouds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-02,5,0.256,0.0,0.0,None,1633150800,2021-10-02 05:00:00+00:00,local,17.59,17.83,16.68,18.12,1017,,,93,2.95,,100,overcast clouds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-02,6,0.287,0.0,0.0,None,1633154400,2021-10-02 06:00:00+00:00,local,17.33,17.55,16.68,17.57,1017,,,93,3.2,,100,overcast clouds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-02,7,0.377,0.0,0.0,None,1633158000,2021-10-02 07:00:00+00:00,local,17.31,17.52,16.12,17.57,1017,,,93,3.55,,100,overcast clouds,2.0,0.0,2.0,0.0,42.8,4.9,0.0,4.9,0.0,105.1
2021-10-02,8,0.215,0.0,0.064,None,1633161600,2021-10-02 08:00:00+00:00,local,17.36,17.58,16.12,18.12,1017,,,93,3.78,,100,overcast clouds,42.0,8.0,34.0,46.7,234.1,64.6,12.3,52.3,46.7,359.8
2021-10-02,9,0.087,0.0,0.167,Low,1633165200,2021-10-02 09:00:00+00:00,local,18.44,18.77,17.23,18.72,1017,,,93,3.57,,100,overcast clouds,80.0,25.0,55.0,71.8,475.9,98.5,30.8,67.7,71.8,586.0
2021-10-02,10,0.052,0.0,0.201,Low,1633168800,2021-10-02 10:00:00+00:00,local,19.53,19.84,18.12,19.59,1016,,,88,4.74,,96,overcast clouds,149.0,27.0,122.0,54.1,681.3,168.0,30.4,137.6,54.1,768.3
2021-10-02,11,0.099,0.0,0.27,Medium,1633172400,2021-10-02 11:00:00+00:00,local,20.55,20.83,18.72,21.45,1016,,,83,5.41,,99,overcast clouds,159.0,2.0,157.0,3.3,836.2,170.0,2.1,167.9,3.3,894.1
2021-10-02,12,0.265,0.0,0.29,Low,1633176000,2021-10-02 12:00:00+00:00,local,20.02,20.38,17.72,20.9,1015,,,88,5.52,1,100,light rain,162.0,0.0,162.0,0.0,930.0,166.3,0.0,166.3,0.0,954.9
2021-10-02,13,0.741,0.0,0.214,None,1633179600,2021-10-02 13:00:00+00:00,local,18.98,19.34,17.72,20.34,1015,,,92,6.18,,100,overcast clouds,92.0,0.0,92.0,0.0,956.4,91.1,0.0,91.1,0.0,946.6
2021-10-02,14,0.202,0.0,0.261,Low,1633183200,2021-10-02 14:00:00+00:00,local,19.03,19.42,17.89,20.34,1014,,,93,6.23,,100,overcast clouds,251.0,64.0,187.0,95.7,913.6,238.9,60.9,178.0,95.7,869.6
2021-10-02,15,0.735,0.0,0.244,Low,1633186800,2021-10-02 15:00:00+00:00,local,19.03,19.42,18.44,19.79,1013,,,93,6.55,1,100,light rain,205.0,57.0,148.0,96.8,804.3,185.9,51.7,134.2,96.8,729.3
2021-10-02,16,0.936,0.0,0.144,None,1633190400,2021-10-02 16:00:00+00:00,local,19.02,19.38,18.44,19.23,1012,,,92,6.72,1,100,light rain,91.0,11.0,80.0,23.6,636.1,76.6,9.3,67.3,23.6,535.2
2021-10-02,17,0.418,0.0,0.056,None,1633194000,2021-10-02 17:00:00+00:00,local,18.99,19.32,17.72,19.54,1011,,,91,6.66,1,100,light rain,39.0,2.0,37.0,6.5,420.4,27.9,1.4,26.4,6.5,300.4
2021-10-02,18,0.388,0.0,0.016,None,1633197600,2021-10-02 18:00:00+00:00,local,18.96,19.29,17.72,19.04,1011,,,91,6.68,,100,overcast clouds,13.0,0.0,13.0,0.0,171.9,3.1,0.0,3.1,0.0,41.0
2021-10-02,19,0.52,0.0,0.0,None,1633201200,2021-10-02 19:00:00+00:00,local,18.43,18.73,17.72,18.48,1011,,,92,6.86,1,100,light rain,0.0,0.0,0.0,0.0,10.4,0.0,0.0,0.0,0.0,0.0
2021-10-02,20,0.477,0.0,0.0,None,1633204800,2021-10-02 20:00:00+00:00,local,18.42,18.75,17.72,18.48,1010,,,93,7.14,1,100,light rain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-02,21,0.55,0.0,0.0,None,1633208400,2021-10-02 21:00:00+00:00,local,18.42,18.75,17.72,18.68,1010,,,93,7.37,2,100,moderate rain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-02,22,0.32,0.0,0.0,None,1633212000,2021-10-02 22:00:00+00:00,local,18.42,18.75,17.72,18.68,1009,,,93,7.54,3,100,moderate rain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-02,23,0.352,0.0,0.0,None,1633215600,2021-10-02 23:00:00+00:00,local,18.4,18.72,17.32,18.68,1008,,,93,8.4,3,100,moderate rain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-03,0,0.472,0.0,0.0,None,1633219200,2021-10-03 00:00:00+00:00,local,18.45,18.78,17.72,18.48,1007,,,93,7.86,4,100,moderate rain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-03,1,0.429,0.0,0.0,None,1633222800,2021-10-03 01:00:00+00:00,local,17.29,17.5,15.57,17.88,1007,,,93,5.26,7,100,heavy intensity rain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-03,2,0.281,0.0,0.0,None,1633226400,2021-10-03 02:00:00+00:00,local,16.72,16.88,15.57,17.01,1008,,,93,4.84,5,100,heavy intensity rain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-03,3,0.337,0.0,0.0,None,1633230000,2021-10-03 03:00:00+00:00,local,16.58,16.72,13.72,16.82,1009,,,93,3.45,2,97,moderate rain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-03,4,0.277,0.0,0.0,None,1633233600,2021-10-03 04:00:00+00:00,local,13.48,13.31,12.79,13.72,1009,,,93,3.39,1,72,light rain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-03,5,0.263,0.0,0.0,None,1633237200,2021-10-03 05:00:00+00:00,local,13.46,13.29,12.23,13.72,1010,,,93,3.76,,51,broken clouds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-03,6,0.259,0.0,0.0,None,1633240800,2021-10-03 06:00:00+00:00,local,12.91,12.68,12.01,12.93,1011,,,93,3.3,,39,scattered clouds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-03,7,0.259,0.0,0.002,None,1633244400,2021-10-03 07:00:00+00:00,local,12.36,12.08,11.72,12.89,1012,,,93,2.47,,40,scattered clouds,5.0,1.0,4.0,13.7,40.4,12.4,2.5,9.9,28.5,100.4
2021-10-03,8,0.047,0.0,0.221,Medium,1633248000,2021-10-03 08:00:00+00:00,local,13.02,12.81,12.79,14.54,1013,,,93,2.26,,32,scattered clouds,99.0,57.0,42.0,339.7,229.3,153.3,88.3,65.0,339.7,355.0
2021-10-03,9,0.015,0.0,0.299,High,1633251600,2021-10-03 09:00:00+00:00,local,14.65,14.44,13.9,15.72,1014,,,87,3.25,,23,few clouds,273.0,195.0,78.0,565.8,471.0,336.8,240.6,96.2,565.8,581.0
2021-10-03,10,0.053,0.0,0.402,High,1633255200,2021-10-03 10:00:00+00:00,local,16.29,15.85,15.9,17.33,1016,,,72,2.31,,45,scattered clouds,376.0,272.0,104.0,549.8,676.1,424.3,306.9,117.4,549.8,763.0
2021-10-03,11,0.236,0.0,0.502,High,1633258800,2021-10-03 11:00:00+00:00,local,16.88,16.45,16.45,17.89,1016,,,70,3.08,,46,scattered clouds,521.0,414.0,107.0,681.1,830.8,557.2,442.8,114.4,681.1,888.5
2021-10-03,12,0.958,0.0,0.621,Medium,1633262400,2021-10-03 12:00:00+00:00,local,17.89,17.33,15.9,19.0,1017,,,61,3.73,,33,scattered clouds,610.0,502.0,108.0,742.3,924.3,626.3,515.4,110.9,742.3,949.0
